Date,Price,Open,High,Low,Vol.,Change %,7_day_MA,14_day_MA,21_day_MA,7_day_STD,price_lag1,price_lag2,price_lag3
2000-01-03,22.03,22.03,22.03,22.03,0.91K,0.50%,23.755714285714284,25.07785714285714,24.63285714285714,1.134076087142558,22.03,22.03,22.03
2000-01-14,23.02,23.02,23.02,23.02,0.68K,4.49%,23.755714285714284,25.07785714285714,24.63285714285714,1.134076087142558,22.03,22.03,22.03
2000-01-24,23.04,23.02,23.04,23.02,2.51K,0.09%,23.755714285714284,25.07785714285714,24.63285714285714,1.134076087142558,23.02,22.03,22.03
2000-01-25,24.11,24.11,24.11,24.11,0.23K,4.64%,23.755714285714284,25.07785714285714,24.63285714285714,1.134076087142558,23.04,23.02,22.03
2000-01-26,24.11,24.11,24.11,24.11,7.98K,0.00%,23.755714285714284,25.07785714285714,24.63285714285714,1.134076087142558,24.11,23.04,23.02
2000-01-27,25.43,24.11,25.43,24.11,7.07K,5.47%,23.755714285714284,25.07785714285714,24.63285714285714,1.134076087142558,24.11,24.11,23.04
2000-02-01,24.55,24.55,24.55,24.55,0.23K,-3.46%,23.755714285714284,25.07785714285714,24.63285714285714,1.134076087142558,25.43,24.11,24.11
2000-02-03,25.43,25.43,25.43,25.43,2.28K,3.58%,24.24142857142857,25.07785714285714,24.63285714285714,0.9908317814077356,24.55,25.43,24.11
2000-02-04,26.3,26.30,26.30,26.30,0.46K,3.42%,24.71,25.07785714285714,24.63285714285714,1.0877652933116335,25.43,24.55,25.43
2000-02-08,26.09,26.09,26.09,26.09,0.91K,-0.80%,25.145714285714284,25.07785714285714,24.63285714285714,0.9024015577494228,26.3,25.43,24.55
2000-02-15,26.74,26.74,26.74,26.74,2.28K,2.49%,25.52142857142857,25.07785714285714,24.63285714285714,0.945770031445788,26.09,26.3,25.43
2000-03-06,23.02,24.11,24.11,23.02,3.88K,-13.91%,25.365714285714287,25.07785714285714,24.63285714285714,1.255797981933633,26.74,26.09,26.3
2000-03-07,28.72,27.27,28.76,27.27,4.79K,24.76%,25.835714285714285,25.07785714285714,24.63285714285714,1.7871285827910055,23.02,26.74,26.09
2000-03-09,28.5,28.50,28.50,28.50,0.23K,-0.77%,26.4,25.07785714285714,24.63285714285714,1.9312949023906263,28.72,23.02,26.74
2000-03-10,28.5,28.50,28.50,28.50,0.46K,0.00%,26.83857142857143,25.54,24.63285714285714,2.020811953740618,28.5,28.72,23.02
2000-03-27,23.04,23.04,23.04,23.04,0.46K,-19.16%,26.37285714285714,25.54142857142857,24.63285714285714,2.4873996749330742,28.5,28.5,28.72
2000-03-28,23.04,23.04,23.04,23.04,0.68K,0.00%,25.93714285714285,25.54142857142857,24.63285714285714,2.7935026656255686,23.04,28.5,28.5
2000-04-04,24.11,24.11,24.11,24.11,2.28K,4.64%,25.56142857142857,25.54142857142857,24.63285714285714,2.8439317184221617,23.04,23.04,28.5
2000-04-26,24.55,24.55,24.55,24.55,0.23K,1.82%,25.78,25.572857142857146,24.63285714285714,2.669500577511334,24.11,23.04,23.04
2000-05-04,21.92,23.02,23.02,21.92,1.37K,-10.71%,24.80857142857143,25.322142857142858,24.63285714285714,2.658561193399097,24.55,24.11,23.04
2000-05-25,21.04,21.04,21.04,21.04,0.46K,-4.01%,23.74285714285714,25.071428571428573,24.63285714285714,2.416365826923528,21.92,24.55,24.11
2000-05-26,21.92,21.92,21.92,21.92,2.28K,4.18%,22.802857142857142,24.820714285714285,24.62761904761905,1.2609614623468186,21.04,21.92,24.55
2000-06-13,21.92,21.92,21.92,21.92,0.23K,0.00%,22.642857142857142,24.507857142857144,24.5752380952381,1.2964144692923223,21.92,21.04,21.92
2000-06-21,21.92,21.92,21.92,21.92,0.46K,0.00%,22.482857142857146,24.21,24.521904761904764,1.308290414825328,21.92,21.92,21.04
2000-06-22,20.39,20.39,20.39,20.39,0.23K,-6.98%,21.95142857142857,23.756428571428568,24.344761904761903,1.2926256041023538,21.92,21.92,21.92
2000-06-23,19.73,22.36,22.36,19.73,0.46K,-3.24%,21.262857142857147,23.52142857142857,24.13619047619048,0.9026389881105132,20.39,21.92,21.92
2000-06-29,18.85,18.85,18.85,18.85,0.23K,-4.46%,20.824285714285715,22.81642857142857,23.822857142857146,1.2201209932196349,19.73,20.39,21.92
2000-06-30,20.61,20.61,20.61,20.61,0.23K,9.34%,20.762857142857143,22.252857142857145,23.63523809523809,1.2182735637739608,18.85,19.73,20.39
2000-07-05,18.85,18.85,18.85,18.85,1.14K,-8.54%,20.324285714285715,21.563571428571432,23.32190476190476,1.28314531708686,20.61,18.85,19.73
2000-07-07,19.73,19.73,19.73,19.73,0.23K,4.67%,20.01142857142857,21.327142857142857,23.009047619047617,1.0801609227553337,18.85,20.61,18.85
2000-07-27,20.61,20.61,20.61,20.61,2.28K,4.46%,19.824285714285715,21.15357142857143,22.74809523809524,0.7605887443916541,19.73,18.85,20.61
