Date,Price,Open,High,Low,Vol.,Change %,7_day_MA,14_day_MA,21_day_MA,7_day_STD,price_lag1,price_lag2,price_lag3
2018-03-05,84.0,84.0,84.0,84.0,20.50K,44.83%,91.91571428571427,90.94785714285716,90.74190476190476,4.403755431987788,84.0,84.0,84.0
2018-03-06,88.2,88.2,88.2,88.2,16.00K,5.00%,91.91571428571427,90.94785714285716,90.74190476190476,4.403755431987788,84.0,84.0,84.0
2018-03-07,92.61,92.61,92.61,91.15,4.04M,5.00%,91.91571428571427,90.94785714285716,90.74190476190476,4.403755431987788,88.2,84.0,84.0
2018-03-08,97.24,94.5,97.24,94.41,3.10M,5.00%,91.91571428571427,90.94785714285716,90.74190476190476,4.403755431987788,92.61,88.2,84.0
2018-03-09,94.16,100.0,101.75,93.25,4.23M,-3.17%,91.91571428571427,90.94785714285716,90.74190476190476,4.403755431987788,97.24,92.61,88.2
2018-03-12,94.02,94.41,95.75,92.51,1.40M,-0.15%,91.91571428571427,90.94785714285716,90.74190476190476,4.403755431987788,94.16,97.24,92.61
2018-03-13,93.18,94.1,95.75,92.8,1.21M,-0.89%,91.91571428571427,90.94785714285716,90.74190476190476,4.403755431987788,94.02,94.16,97.24
2018-03-14,88.58,93.19,93.19,88.53,2.95M,-4.94%,92.57,90.94785714285716,90.74190476190476,3.2101453757319787,93.18,94.02,94.16
2018-03-15,91.26,89.0,93.0,88.85,2.31M,3.03%,93.00714285714284,90.94785714285716,90.74190476190476,2.6805392137013326,88.58,93.18,94.02
2018-03-16,89.97,91.5,91.88,89.8,455.00K,-1.41%,92.63,90.94785714285716,90.74190476190476,2.920690557613627,91.26,88.58,93.18
2018-03-19,89.55,90.5,90.8,89.2,318.50K,-0.47%,91.53142857142858,90.94785714285716,90.74190476190476,2.2718892914006594,89.97,91.26,88.58
2018-03-20,89.37,90.1,92.4,89.05,1.18M,-0.20%,90.84714285714286,90.94785714285716,90.74190476190476,2.059674038011152,89.55,89.97,91.26
2018-03-21,90.44,89.85,91.9,89.3,1.12M,1.20%,90.33571428571427,90.94785714285716,90.74190476190476,1.512248404890957,89.37,89.55,89.97
2018-03-22,90.69,90.76,91.8,90.4,1.06M,0.28%,89.98,90.94785714285716,90.74190476190476,0.9010364402545852,90.44,89.37,89.55
2018-03-26,89.55,90.25,90.89,89.01,578.50K,-1.26%,90.1185714285714,91.3442857142857,90.74190476190476,0.7025768895389853,90.69,90.44,89.37
2018-03-27,90.89,90.0,92.68,89.75,3.51M,1.50%,90.0657142857143,91.53642857142856,90.74190476190476,0.610241950455084,89.55,90.69,90.44
2018-03-28,90.11,90.98,91.99,90.0,1.02M,-0.86%,90.08571428571427,91.35785714285714,90.74190476190476,0.6088748405284614,90.89,89.55,90.69
2018-03-29,90.32,90.36,93.0,89.9,3.28M,0.23%,90.19571428571427,90.86357142857145,90.74190476190476,0.5638515508789186,90.11,90.89,89.55
2018-03-30,90.69,90.63,91.7,90.2,1.44M,0.41%,90.38428571428572,90.61571428571428,90.74190476190476,0.4511414095697372,90.32,90.11,90.89
2018-04-02,90.82,90.98,91.7,90.5,907.00K,0.14%,90.43857142857142,90.38714285714286,90.74190476190476,0.4808474661618648,90.69,90.32,90.11
2018-04-03,89.93,91.0,93.69,89.3,4.20M,-0.98%,90.33,90.155,90.74190476190476,0.5000333322222911,90.82,90.69,90.32
2018-04-04,90.16,90.01,90.82,89.66,1.45M,0.26%,90.41714285714286,90.26785714285714,91.0352380952381,0.3802505439713053,89.93,90.82,90.69
2018-04-05,94.66,90.6,94.66,90.6,5.80M,4.99%,90.95571428571428,90.51071428571429,91.34285714285711,1.6640999283181854,90.16,89.93,90.82
