Date,Price,Open,High,Low,Vol.,Change %,7_day_MA,14_day_MA,21_day_MA,7_day_STD,price_lag1,price_lag2,price_lag3
2002-10-01,7.64,7.27,7.75,7.27,3.36M,-89.39%,7.617142857142857,7.817142857142857,7.909523809523809,0.1462548330499748,7.64,7.64,7.64
2002-10-02,7.59,7.8,7.8,7.48,1.31M,-0.65%,7.617142857142857,7.817142857142857,7.909523809523809,0.1462548330499748,7.64,7.64,7.64
2002-10-03,7.38,7.56,7.59,7.35,183.77K,-2.77%,7.617142857142857,7.817142857142857,7.909523809523809,0.1462548330499748,7.59,7.64,7.64
2002-10-04,7.48,7.51,7.56,7.48,50.47K,1.36%,7.617142857142857,7.817142857142857,7.909523809523809,0.1462548330499748,7.38,7.59,7.64
2002-10-07,7.77,7.59,7.96,7.59,495.14K,3.88%,7.617142857142857,7.817142857142857,7.909523809523809,0.1462548330499748,7.48,7.38,7.59
2002-10-08,7.69,7.82,7.88,7.61,134.26K,-1.03%,7.617142857142857,7.817142857142857,7.909523809523809,0.1462548330499748,7.77,7.48,7.38
2002-10-09,7.77,7.8,7.82,7.72,39.04K,1.04%,7.617142857142857,7.817142857142857,7.909523809523809,0.1462548330499748,7.69,7.77,7.48
2002-10-11,7.09,7.35,7.35,7.04,261.86K,-8.75%,7.538571428571428,7.817142857142857,7.909523809523809,0.2457931767040855,7.77,7.69,7.77
2002-10-14,7.48,7.04,7.69,6.85,1.42M,5.50%,7.522857142857143,7.817142857142857,7.909523809523809,0.2454733037565246,7.09,7.77,7.69
2002-10-15,7.77,7.61,7.93,7.54,1.69M,3.88%,7.578571428571428,7.817142857142857,7.909523809523809,0.2518219325521223,7.48,7.09,7.77
2002-10-16,8.45,7.88,8.45,7.75,3.17M,8.75%,7.717142857142856,7.817142857142857,7.909523809523809,0.4073783779941471,7.77,7.48,7.09
2002-10-17,8.53,8.53,8.9,8.4,2.45M,0.95%,7.825714285714286,7.817142857142857,7.909523809523809,0.5117244422166131,8.45,7.77,7.48
2002-10-18,8.4,8.53,8.69,8.4,496.10K,-1.52%,7.927142857142857,7.817142857142857,7.909523809523809,0.5493242602117093,8.53,8.45,7.77
2002-10-21,8.4,8.3,8.45,8.14,768.43K,0.00%,8.017142857142856,7.817142857142857,7.909523809523809,0.5704885124672904,8.4,8.53,8.45
2002-10-22,8.14,8.4,8.4,8.11,190.44K,-3.10%,8.167142857142858,7.852857142857142,7.909523809523809,0.3980667567847653,8.4,8.4,8.53
2002-10-23,7.96,8.06,8.11,7.88,354.22K,-2.21%,8.235714285714286,7.879285714285714,7.909523809523809,0.2853569193634001,8.14,8.4,8.4
2002-10-24,8.01,7.88,8.24,7.8,434.20K,0.63%,8.27,7.924285714285714,7.909523809523809,0.2289104628451885,7.96,8.14,8.4
2002-10-25,8.14,8.14,8.4,7.85,575.13K,1.62%,8.225714285714286,7.971428571428571,7.909523809523809,0.2180104846757839,8.01,7.96,8.14
2002-10-28,8.03,7.96,8.27,7.88,289.47K,-1.35%,8.154285714285715,7.99,7.909523809523809,0.1803567892500056,8.14,8.01,7.96
2002-10-29,8.24,8.09,8.35,7.98,1.02M,2.62%,8.131428571428572,8.029285714285715,7.909523809523809,0.1519241665468404,8.03,8.14,8.01
2002-10-30,8.14,8.27,8.35,8.14,312.32K,-1.21%,8.094285714285714,8.055714285714286,7.909523809523809,0.0972723226920423,8.24,8.03,8.14
