Date,Price,Open,High,Low,Vol.,Change %,7_day_MA,14_day_MA,21_day_MA,7_day_STD,price_lag1,price_lag2,price_lag3
2014-02-12,6.6,6.6,6.6,6.6,10.91K,-82.65%,7.262857142857143,7.227857142857142,7.422857142857143,0.3933918439128384,6.6,6.6,6.6
2014-02-14,7.4,7.4,7.4,7.01,6.28M,12.12%,7.262857142857143,7.227857142857142,7.422857142857143,0.3933918439128384,6.6,6.6,6.6
2014-02-17,7.82,7.82,7.82,7.63,18.16M,5.68%,7.262857142857143,7.227857142857142,7.422857142857143,0.3933918439128384,7.4,6.6,6.6
2014-02-18,7.58,7.94,8.2,7.4,10.44M,-3.07%,7.262857142857143,7.227857142857142,7.422857142857143,0.3933918439128384,7.82,7.4,6.6
2014-02-19,7.23,7.52,7.66,7.19,1.42M,-4.62%,7.262857142857143,7.227857142857142,7.422857142857143,0.3933918439128384,7.58,7.82,7.4
2014-02-20,7.04,7.23,7.26,7.01,1.08M,-2.63%,7.262857142857143,7.227857142857142,7.422857142857143,0.3933918439128384,7.23,7.58,7.82
2014-02-21,7.17,7.05,7.4,6.97,2.39M,1.85%,7.262857142857143,7.227857142857142,7.422857142857143,0.3933918439128384,7.04,7.23,7.58
2014-02-24,7.34,7.18,7.51,7.18,1.59M,2.37%,7.368571428571428,7.227857142857142,7.422857142857143,0.2635923981850624,7.17,7.04,7.23
2014-02-25,7.09,7.26,7.32,7.01,683.99K,-3.41%,7.324285714285715,7.227857142857142,7.422857142857143,0.2827753609526559,7.34,7.17,7.04
2014-02-26,6.98,7.11,7.11,6.97,460.84K,-1.55%,7.204285714285715,7.227857142857142,7.422857142857143,0.2048460513700585,7.09,7.34,7.17
2014-02-27,6.98,6.99,7.09,6.8,551.80K,0.00%,7.118571428571429,7.227857142857142,7.422857142857143,0.1350837482735016,6.98,7.09,7.34
2014-02-28,7.05,6.97,7.13,6.95,487.53K,1.00%,7.092857142857143,7.227857142857142,7.422857142857143,0.1272418020560689,6.98,6.98,7.09
2014-03-03,7.35,7.13,7.44,7.09,3.02M,4.26%,7.137142857142857,7.227857142857142,7.422857142857143,0.1563877963817594,7.05,6.98,6.98
2014-03-04,7.56,7.42,7.64,7.22,2.53M,2.86%,7.192857142857142,7.227857142857142,7.422857142857143,0.2246266744114396,7.35,7.05,6.98
2014-03-05,7.64,7.65,7.79,7.47,2.35M,1.06%,7.235714285714286,7.302142857142857,7.422857142857143,0.2793359472545052,7.56,7.35,7.05
2014-03-06,7.98,7.65,8.04,7.63,8.04M,4.45%,7.362857142857143,7.343571428571429,7.422857142857143,0.3846519762813444,7.64,7.56,7.35
2014-03-07,7.9,8.04,8.06,7.85,1.26M,-1.00%,7.494285714285715,7.349285714285715,7.422857142857143,0.3891810693776185,7.98,7.64,7.56
2014-03-10,7.62,8.02,8.02,7.61,2.18M,-3.54%,7.5857142857142845,7.352142857142857,7.422857142857143,0.3166416030181556,7.9,7.98,7.64
2014-03-11,7.73,7.71,7.9,7.65,1.30M,1.44%,7.682857142857143,7.387857142857143,7.422857142857143,0.2118737269943567,7.62,7.9,7.98
2014-03-12,7.99,7.71,8.1,7.71,5.70M,3.36%,7.774285714285715,7.455714285714285,7.422857142857143,0.1799867720007266,7.73,7.62,7.9
2014-03-13,7.83,8.06,8.15,7.75,4.73M,-2.00%,7.812857142857143,7.502857142857143,7.422857142857143,0.1533747356112248,7.99,7.73,7.62
2014-03-14,7.92,7.83,8.0,7.83,2.22M,1.15%,7.852857142857144,7.544285714285714,7.485714285714287,0.136346896519429,7.83,7.99,7.73
2014-03-17,8.33,8.33,8.33,8.33,8.20M,5.18%,7.902857142857143,7.632857142857143,7.529999999999999,0.2256630442137422,7.92,7.83,7.99
2014-03-18,8.75,8.75,8.75,8.75,1.63M,5.04%,8.024285714285714,7.759285714285714,7.574285714285715,0.3915719236980299,8.33,7.92,7.83
