Date,Price,Open,High,Low,Vol.,Change %,7_day_MA,14_day_MA,21_day_MA,7_day_STD,price_lag1,price_lag2,price_lag3
2000-01-03,3.02,2.93,3.02,2.77,48.33K,3.07%,3.225714285714286,3.582142857142857,3.812857142857143,0.3361476432986523,3.02,3.02,3.02
2000-01-04,2.93,3.02,3.02,2.89,30.43K,-2.98%,3.225714285714286,3.582142857142857,3.812857142857143,0.3361476432986523,3.02,3.02,3.02
2000-01-06,3.02,2.93,3.1,2.77,33.42K,3.07%,3.225714285714286,3.582142857142857,3.812857142857143,0.3361476432986523,2.93,3.02,3.02
2000-01-12,3.06,3.1,3.31,3.06,120.54K,1.32%,3.225714285714286,3.582142857142857,3.812857142857143,0.3361476432986523,3.02,2.93,3.02
2000-01-13,3.18,3.31,3.35,3.14,54.90K,3.92%,3.225714285714286,3.582142857142857,3.812857142857143,0.3361476432986523,3.06,3.02,2.93
2000-01-14,3.52,3.31,3.6,3.31,274.49K,10.69%,3.225714285714286,3.582142857142857,3.812857142857143,0.3361476432986523,3.18,3.06,3.02
2000-01-17,3.85,3.77,4.19,3.73,459.48K,9.37%,3.225714285714286,3.582142857142857,3.812857142857143,0.3361476432986523,3.52,3.18,3.06
2000-01-18,3.56,3.73,3.81,3.35,256.00K,-7.53%,3.302857142857143,3.582142857142857,3.812857142857143,0.3429632772233922,3.85,3.52,3.18
2000-01-19,3.69,3.69,3.9,3.56,210.64K,3.65%,3.411428571428572,3.582142857142857,3.812857142857143,0.3250860691893029,3.56,3.85,3.52
2000-01-20,3.77,4.11,4.11,3.69,282.85K,2.17%,3.518571428571429,3.582142857142857,3.812857142857143,0.2969527780320504,3.69,3.56,3.85
2000-01-21,4.19,3.85,4.19,3.73,433.82K,11.14%,3.68,3.582142857142857,3.812857142857143,0.3128364855106681,3.77,3.69,3.56
2000-01-24,4.32,4.19,4.61,4.11,594.34K,3.10%,3.842857142857144,3.582142857142857,3.812857142857143,0.3058166272847331,4.19,3.77,3.69
2000-01-25,4.02,4.27,4.4,3.85,222.58K,-6.94%,3.914285714285714,3.582142857142857,3.812857142857143,0.2746426249302377,4.32,4.19,3.77
2000-01-26,4.02,4.19,4.36,3.77,76.98K,0.00%,3.9385714285714286,3.582142857142857,3.812857142857143,0.2755254719881367,4.02,4.32,4.19
2000-01-27,4.4,4.11,4.48,4.02,452.32K,9.45%,4.058571428571429,3.6807142857142856,3.812857142857143,0.2659215781283751,4.02,4.02,4.32
2000-01-28,4.15,4.4,4.4,4.11,138.44K,-5.68%,4.124285714285714,3.767857142857143,3.812857142857143,0.2107808611534054,4.4,4.02,4.02
2000-01-31,4.36,4.52,4.52,4.32,204.68K,5.06%,4.208571428571429,3.863571428571429,3.812857142857143,0.1564639012071222,4.15,4.4,4.02
2000-02-01,4.19,4.15,4.36,4.02,244.06K,-3.90%,4.208571428571429,3.9442857142857135,3.812857142857143,0.1564639012071222,4.36,4.15,4.4
2000-02-02,4.32,4.11,4.32,4.06,182.60K,3.10%,4.208571428571429,4.025714285714286,3.812857142857143,0.1564639012071222,4.19,4.36,4.15
2000-02-03,4.27,4.19,4.48,4.19,238.09K,-1.16%,4.244285714285715,4.079285714285715,3.812857142857143,0.1330234494186561,4.32,4.19,4.36
2000-02-04,4.23,4.19,4.52,4.19,128.89K,-0.94%,4.274285714285715,4.106428571428571,3.812857142857143,0.0910781976942764,4.27,4.32,4.19
2000-02-07,4.19,4.27,4.32,4.11,116.36K,-0.95%,4.244285714285715,4.151428571428572,3.868571428571429,0.0761264612026443,4.23,4.27,4.32
2000-02-08,4.15,4.23,4.27,4.15,41.77K,-0.95%,4.244285714285715,4.184285714285715,3.9266666666666654,0.0761264612026443,4.19,4.23,4.27
2000-02-09,4.15,4.11,4.19,4.06,67.43K,0.00%,4.214285714285714,4.211428571428572,3.980476190476191,0.0632078958298543,4.15,4.19,4.23
2000-02-10,4.78,4.19,4.82,4.19,872.41K,15.18%,4.298571428571429,4.253571428571429,4.062380952380953,0.2212410880637199,4.15,4.15,4.19
2000-02-11,5.03,4.69,5.45,4.65,923.14K,5.23%,4.4,4.304285714285714,4.150476190476191,0.3550117368951807,4.78,4.15,4.15
2000-02-14,5.61,5.36,5.66,5.2,835.42K,11.53%,4.591428571428572,4.417857142857143,4.25,0.5696322957671484,5.03,4.78,4.15
2000-02-15,5.53,5.82,5.95,5.49,404.58K,-1.43%,4.777142857142858,4.525714285714286,4.33,0.6397581388231616,5.61,5.03,4.78
2000-02-16,5.03,5.61,5.61,5.03,358.63K,-9.04%,4.897142857142858,4.570714285714287,4.4,0.5879544847949336,5.53,5.61,5.03
2000-02-17,5.28,5.15,5.49,4.94,406.37K,4.97%,5.058571428571429,4.651428571428572,4.475714285714286,0.4966698625656203,5.03,5.53,5.61
2000-02-18,5.2,5.28,5.45,5.07,321.64K,-1.52%,5.208571428571429,4.711428571428572,4.543809523809524,0.2935659251019304,5.28,5.03,5.53
2000-02-21,5.28,5.2,5.36,5.15,164.70K,1.54%,5.28,4.789285714285716,4.595714285714286,0.2246478726065899,5.2,5.28,5.03
2000-02-22,5.53,5.11,5.53,5.11,203.48K,4.73%,5.351428571428571,4.875714285714286,4.653333333333333,0.2109840887704233,5.28,5.2,5.28
2000-02-23,5.7,5.32,5.7,5.24,264.95K,3.07%,5.364285714285715,4.977857142857142,4.733333333333333,0.2311462122306391,5.53,5.28,5.2
2000-02-24,5.45,5.49,5.57,5.28,151.57K,-4.39%,5.352857142857142,5.065,4.801428571428572,0.223436365714737,5.7,5.53,5.28
2000-02-25,5.4,5.45,5.61,5.2,88.91K,-0.92%,5.405714285714287,5.151428571428572,4.84904761904762,0.172226318435671,5.45,5.7,5.53
2000-02-28,5.28,5.36,5.4,5.28,51.32K,-2.22%,5.405714285714285,5.2321428571428585,4.902857142857143,0.172226318435671,5.4,5.45,5.7
2000-02-29,5.03,5.24,5.24,4.94,269.72K,-4.73%,5.381428571428572,5.295000000000001,4.934761904761905,0.2131844718726468,5.28,5.4,5.45
2000-03-01,4.61,4.61,4.94,4.52,140.83K,-8.35%,5.285714285714286,5.282857142857144,4.954761904761905,0.3636324675115953,5.03,5.28,5.4
2000-03-02,4.52,4.61,4.69,4.36,45.35K,-1.95%,5.141428571428572,5.246428571428572,4.964285714285714,0.4423960733486289,4.61,5.03,5.28
2000-03-03,4.61,4.69,4.82,4.52,78.17K,1.99%,4.985714285714287,5.175,4.980476190476191,0.4031069809557228,4.52,4.61,5.03
2000-03-06,4.52,4.69,5.11,4.48,79.36K,-1.95%,4.852857142857142,5.102857142857142,4.994285714285714,0.3769931160164714,4.61,4.52,4.61
2000-03-07,4.57,4.48,4.86,4.48,34.01K,1.11%,4.734285714285714,5.07,5.012380952380953,0.2985999075048477,4.52,4.61,4.52
2000-03-08,4.61,5.03,5.03,4.61,38.79K,0.88%,4.638571428571429,5.022142857142858,5.034285714285715,0.1772407563577983,4.57,4.52,4.61
2000-03-09,4.52,4.65,4.65,4.52,18.50K,-1.95%,4.565714285714285,4.973571428571428,5.051904761904762,0.0450396650583681,4.61,4.57,4.52
2000-03-10,4.23,4.48,4.48,4.02,68.03K,-6.42%,4.511428571428572,4.898571428571429,5.025714285714286,0.1305665311158164,4.52,4.61,4.57
2000-03-13,4.36,4.4,4.48,4.36,39.98K,3.07%,4.488571428571428,4.815,4.993809523809524,0.1422941286477323,4.23,4.52,4.61
2000-03-14,4.32,4.32,4.32,4.19,23.27K,-0.92%,4.4471428571428575,4.716428571428572,4.932380952380952,0.1432613329681381,4.36,4.23,4.52
2000-03-15,4.4,4.4,4.4,4.27,58.48K,1.85%,4.430000000000001,4.641428571428572,4.878571428571429,0.1402378931197443,4.32,4.36,4.23
2000-03-16,4.52,5.03,5.03,4.4,62.06K,2.73%,4.422857142857143,4.578571428571428,4.854285714285714,0.1330055494724724,4.4,4.32,4.36
2000-03-20,4.82,4.82,4.82,4.61,52.51K,6.64%,4.452857142857143,4.545714285714285,4.832380952380952,0.1925888786780648,4.52,4.4,4.32
2000-03-21,4.82,4.69,5.03,4.61,250.03K,0.00%,4.495714285714286,4.530714285714287,4.814285714285714,0.238037612074023,4.82,4.52,4.4
2000-03-22,5.28,4.94,5.45,4.9,1.21M,9.54%,4.645714285714286,4.578571428571429,4.814285714285714,0.3480831865544549,4.82,4.82,4.52
2000-03-24,5.03,5.36,5.49,4.94,501.85K,-4.73%,4.741428571428572,4.615,4.79047619047619,0.3485411774539004,5.28,4.82,4.82
2000-03-27,4.78,4.69,4.94,4.61,447.55K,-4.97%,4.807142857142858,4.627142857142857,4.746666666666667,0.2951109557276299,5.03,5.28,4.82
2000-03-28,5.03,4.86,5.07,4.82,371.76K,5.23%,4.897142857142858,4.663571428571429,4.726666666666667,0.2414342067530516,4.78,5.03,5.28
2000-03-29,5.45,4.99,5.66,4.99,2.12M,8.35%,5.03,4.726428571428571,4.729047619047619,0.2548201980482167,5.03,4.78,5.03
2000-03-30,5.32,5.49,5.7,5.11,454.11K,-2.39%,5.101428571428571,4.777142857142857,4.730952380952381,0.2562179132059625,5.45,5.03,4.78
2000-03-31,5.15,5.28,5.4,5.15,253.61K,-3.20%,5.148571428571429,4.8221428571428575,4.736666666666666,0.2241598069405355,5.32,5.45,5.03
2000-04-03,5.07,5.45,5.45,5.07,183.20K,-1.55%,5.118571428571428,4.882142857142857,4.758571428571428,0.2175950804766002,5.15,5.32,5.45
2000-04-04,5.03,5.03,5.03,4.99,82.95K,-0.79%,5.118571428571428,4.93,4.782857142857143,0.2175950804766002,5.07,5.15,5.32
2000-04-05,4.94,5.03,5.03,4.78,168.87K,-1.79%,5.141428571428572,4.974285714285715,4.798571428571429,0.1815147901621742,5.03,5.07,5.15
2000-04-06,5.03,4.99,5.03,4.86,183.79K,1.82%,5.141428571428572,5.019285714285715,4.822857142857143,0.1815147901621742,4.94,5.03,5.07
2000-04-07,4.82,5.07,5.07,4.82,127.70K,-4.17%,5.051428571428572,5.040714285714286,4.834761904761905,0.1576312756010629,5.03,4.94,5.03
2000-04-10,4.9,4.78,4.9,4.78,16.11K,1.66%,4.991428571428572,5.046428571428572,4.848571428571429,0.1115688982092157,4.82,5.03,4.94
2000-04-11,4.94,4.9,5.15,4.9,154.55K,0.82%,4.961428571428572,5.055000000000001,4.868571428571429,0.087450666364633,4.9,4.82,5.03
