Date,Price,Open,High,Low,Vol.,Change %,7_day_MA,14_day_MA,21_day_MA,7_day_STD,price_lag1,price_lag2,price_lag3
2003-01-01,38.94,39.18,40.24,38.46,297.87M,0.99%,39.68571428571429,39.61642857142857,38.1647619047619,0.5493589337539173,38.94,38.94,38.94
2003-01-02,39.04,38.61,39.23,38.41,107.54M,0.26%,39.68571428571429,39.61642857142857,38.1647619047619,0.5493589337539173,38.94,38.94,38.94
2003-01-03,39.86,40.0,40.48,39.66,124.03M,2.10%,39.68571428571429,39.61642857142857,38.1647619047619,0.5493589337539173,39.04,38.94,38.94
2003-01-06,39.57,39.71,39.86,39.18,67.44M,-0.73%,39.68571428571429,39.61642857142857,38.1647619047619,0.5493589337539173,39.86,39.04,38.94
2003-01-07,40.48,39.71,40.72,39.66,250.71M,2.30%,39.68571428571429,39.61642857142857,38.1647619047619,0.5493589337539173,39.57,39.86,39.04
2003-01-08,40.05,40.72,40.96,39.95,126.86M,-1.06%,39.68571428571429,39.61642857142857,38.1647619047619,0.5493589337539173,40.48,39.57,39.86
2003-01-09,39.86,40.24,40.34,39.71,89.22M,-0.47%,39.68571428571429,39.61642857142857,38.1647619047619,0.5493589337539173,40.05,40.48,39.57
2003-01-10,40.38,40.82,40.91,40.24,148.34M,1.30%,39.89142857142857,39.61642857142857,38.1647619047619,0.4899805632685408,39.86,40.05,40.48
2003-01-13,39.76,40.43,40.53,39.71,61.92M,-1.54%,39.99428571428571,39.61642857142857,38.1647619047619,0.3313536450610471,40.38,39.86,40.05
2003-01-14,39.04,39.28,39.66,38.85,98.02M,-1.81%,39.87714285714286,39.61642857142857,38.1647619047619,0.4925009064531206,39.76,40.38,39.86
2003-01-15,40.43,39.18,40.43,39.04,164.94M,3.56%,40.0,39.61642857142857,38.1647619047619,0.5100653552895659,39.04,39.76,40.38
2003-01-16,39.86,40.14,40.58,39.57,110.08M,-1.41%,39.91142857142857,39.61642857142857,38.1647619047619,0.4646299090469274,40.43,39.04,39.76
2003-01-17,39.28,40.14,40.14,38.85,88.53M,-1.46%,39.80142857142857,39.61642857142857,38.1647619047619,0.5147953823746753,39.86,40.43,39.04
2003-01-20,38.08,37.98,38.61,37.79,92.83M,-3.05%,39.54714285714285,39.61642857142857,38.1647619047619,0.8263718752416951,39.28,39.86,40.43
