Date,Price,Open,High,Low,Vol.,Change %,7_day_MA,14_day_MA,21_day_MA,7_day_STD,price_lag1,price_lag2,price_lag3
2003-10-31,50.85,50.85,50.85,50.85,,55.50%,49.24285714285714,48.582142857142856,47.12142857142857,1.0868258720652864,50.85,50.85,50.85
2005-04-18,50.5,52.2,52.8,50.4,3.36M,-0.69%,49.24285714285714,48.582142857142856,47.12142857142857,1.0868258720652864,50.85,50.85,50.85
2005-04-19,48.0,50.0,51.5,48.0,3.27M,-4.95%,49.24285714285714,48.582142857142856,47.12142857142857,1.0868258720652864,50.5,50.85,50.85
2005-04-20,49.35,47.65,50.25,45.75,6.01M,2.81%,49.24285714285714,48.582142857142856,47.12142857142857,1.0868258720652864,48.0,50.5,50.85
2005-04-21,48.75,50.0,50.7,48.1,2.76M,-1.22%,49.24285714285714,48.582142857142856,47.12142857142857,1.0868258720652864,49.35,48.0,50.5
2005-04-25,48.2,49.9,50.1,48.15,1.87M,-1.13%,49.24285714285714,48.582142857142856,47.12142857142857,1.0868258720652864,48.75,49.35,48.0
2005-04-26,49.05,48.0,49.5,47.5,1.71M,1.76%,49.24285714285714,48.582142857142856,47.12142857142857,1.0868258720652864,48.2,48.75,49.35
2005-04-27,48.75,49.45,49.5,48.5,943.50K,-0.61%,48.942857142857136,48.582142857142856,47.12142857142857,0.8283661486266003,49.05,48.2,48.75
2005-04-28,48.35,48.7,48.9,48.1,771.50K,-0.82%,48.635714285714286,48.582142857142856,47.12142857142857,0.4802033299501606,48.75,49.05,48.2
2005-04-29,47.7,48.1,48.45,47.25,692.50K,-1.34%,48.59285714285714,48.582142857142856,47.12142857142857,0.5540972924710899,48.35,48.75,49.05
2005-05-02,47.0,48.2,48.45,46.65,1.18M,-1.47%,48.25714285714286,48.582142857142856,47.12142857142857,0.7091242083423166,47.7,48.35,48.75
2005-05-03,47.5,46.5,47.6,46.25,1.36M,1.06%,48.07857142857143,48.582142857142856,47.12142857142857,0.7216053531635241,47.0,47.7,48.35
2005-05-04,47.25,47.4,48.1,47.0,1.06M,-0.53%,47.94285714285714,48.582142857142856,47.12142857142857,0.7817867203978589,47.5,47.0,47.7
2005-05-05,48.9,47.5,49.0,47.15,2.70M,3.49%,47.92142857142858,48.582142857142856,47.12142857142857,0.7476948702830474,47.25,47.5,47.0
2005-05-06,45.25,45.75,46.35,44.8,2.36M,-7.46%,47.42142857142858,48.18214285714286,47.12142857142857,1.1586116486471645,48.9,47.25,47.5
2005-05-09,45.8,45.0,46.8,44.1,7.20M,1.22%,47.05714285714286,47.846428571428575,47.12142857142857,1.217384002492125,45.25,48.9,47.25
2005-05-10,45.3,45.7,46.35,45.05,2.50M,-1.09%,46.71428571428572,47.65357142857143,47.12142857142857,1.3381312484562804,45.8,45.25,48.9
2005-05-11,45.05,45.15,45.7,44.9,2.13M,-0.55%,46.43571428571429,47.34642857142857,47.12142857142857,1.4656381675212866,45.3,45.8,45.25
2005-05-12,44.05,45.25,45.25,44.0,1.99M,-2.22%,45.94285714285714,47.010714285714286,47.12142857142857,1.6200382123652843,45.05,45.3,45.8
2005-05-13,43.1,44.2,44.3,42.95,1.26M,-2.16%,45.35,46.64642857142858,47.12142857142857,1.810156530984692,44.05,45.05,45.3
2005-05-16,40.85,42.4,42.4,40.85,1.55M,-5.22%,44.2,46.06071428571428,47.12142857142857,1.7344547654329727,43.1,44.05,45.05
2005-05-17,40.0,39.6,40.5,39.1,3.30M,-2.08%,43.45,45.43571428571428,46.6047619047619,2.260162236064729,40.85,43.1,44.05
2005-05-18,38.25,40.15,40.25,38.1,2.31M,-4.38%,42.371428571428574,44.71428571428572,46.021428571428565,2.7087600396455733,40.0,40.85,43.1
2005-05-19,39.5,38.15,39.6,37.25,3.84M,3.27%,41.54285714285714,44.12857142857143,45.61666666666666,2.5458182331404133,38.25,40.0,40.85
2005-05-20,38.75,39.5,39.55,38.45,1.36M,-1.90%,40.642857142857146,43.53928571428571,45.11190476190476,2.18773638178601,39.5,38.25,40.0
2005-05-23,36.85,37.25,38.05,36.85,2.32M,-4.90%,39.614285714285714,42.77857142857143,44.54523809523809,2.003687077555159,38.75,39.5,38.25
2005-05-24,36.65,35.65,37.0,35.35,2.77M,-0.54%,38.69285714285714,42.021428571428565,43.99523809523809,1.5696147540686776,36.85,38.75,39.5
2005-05-25,36.65,37.05,37.85,36.4,2.33M,0.00%,38.09285714285714,41.14642857142858,43.40476190476191,1.4013174073671009,36.65,36.85,38.75
2005-05-26,35.1,37.05,37.2,35.1,2.02M,-4.23%,37.392857142857146,40.42142857142857,42.7547619047619,1.509533198107955,36.65,36.65,36.85
2005-05-27,35.4,35.1,36.4,34.7,2.21M,0.85%,36.98571428571428,39.67857142857143,42.13809523809524,1.6201116951498893,35.1,36.65,36.65
2005-05-30,36.75,35.5,36.8,35.5,2.52M,3.81%,36.59285714285714,39.06785714285714,41.61666666666667,1.183366867398557,35.4,35.1,36.65
2005-05-31,36.35,36.5,36.7,36.0,1.38M,-1.09%,36.25,38.44642857142857,41.10952380952381,0.7053367989829521,36.75,35.4,35.1
2005-06-01,37.05,36.45,37.7,36.2,2.74M,1.93%,36.27857142857143,37.94642857142857,40.61190476190476,0.7370307223676652,36.35,36.75,35.4
2005-06-02,38.9,37.55,38.9,37.55,4.11M,4.99%,36.6,37.646428571428565,40.21428571428572,1.242980289465414,37.05,36.35,36.75
2005-06-03,37.8,39.1,39.35,37.1,2.23M,-2.83%,36.76428571428572,37.42857142857143,39.68571428571428,1.3240450287262762,38.9,37.05,36.35
2005-06-06,36.9,35.95,37.25,35.95,1.87M,-2.38%,37.021428571428565,37.207142857142856,39.28809523809524,1.1033498775911863,37.8,38.9,37.05
2005-06-07,38.35,38.1,38.45,37.8,1.60M,3.93%,37.44285714285714,37.21428571428572,38.93333333333333,0.9306935457979798,36.9,37.8,38.9
2005-06-08,37.2,38.4,38.4,37.15,1.37M,-3.00%,37.50714285714286,37.05,38.54761904761905,0.8894888848040862,38.35,36.9,37.8
2005-06-09,37.35,37.4,37.8,37.3,775.80K,0.40%,37.64999999999999,36.95,38.180952380952384,0.7404953297171281,37.2,38.35,36.9
