Date,Price,Open,High,Low,Vol.,Change %,7_day_MA,14_day_MA,21_day_MA,7_day_STD,price_lag1,price_lag2,price_lag3
2009-10-22,10.2,10.99,10.99,9.99,656.96K,-38.96%,9.97,10.058571428571428,10.052380952380952,0.2221110833194363,10.2,10.2,10.2
2009-10-23,10.14,10.5,10.5,10.1,76.00K,-0.59%,9.97,10.058571428571428,10.052380952380952,0.2221110833194363,10.2,10.2,10.2
2009-10-26,10.11,10.43,10.45,10.1,47.96K,-0.30%,9.97,10.058571428571428,10.052380952380952,0.2221110833194363,10.14,10.2,10.2
2009-10-27,10.0,10.29,10.29,9.9,134.63K,-1.09%,9.97,10.058571428571428,10.052380952380952,0.2221110833194363,10.11,10.14,10.2
2009-10-29,9.59,10.0,10.0,9.59,62.61K,-4.10%,9.97,10.058571428571428,10.052380952380952,0.2221110833194363,10.0,10.11,10.14
2009-10-30,10.0,9.94,10.0,9.25,14.00K,4.28%,9.97,10.058571428571428,10.052380952380952,0.2221110833194363,9.59,10.0,10.11
2009-11-02,9.75,11.0,11.0,9.6,16.40K,-2.50%,9.97,10.058571428571428,10.052380952380952,0.2221110833194363,10.0,9.59,10.0
2009-11-03,9.94,9.7,9.95,9.7,25.28K,1.95%,9.932857142857143,10.058571428571428,10.052380952380952,0.197628800677288,9.75,10.0,9.59
2009-11-04,10.2,9.7,10.2,9.7,7.65K,2.62%,9.94142857142857,10.058571428571428,10.052380952380952,0.2090796157311516,9.94,9.75,10.0
2009-11-05,10.21,10.44,10.71,10.0,525.23K,0.10%,9.955714285714285,10.058571428571428,10.052380952380952,0.2253040273983249,10.2,9.94,9.75
2009-11-06,10.07,10.02,10.25,10.0,42.66K,-1.37%,9.965714285714284,10.058571428571428,10.052380952380952,0.2291183931840447,10.21,10.2,9.94
2009-11-11,10.26,10.29,10.35,10.1,133.33K,1.89%,10.061428571428571,10.058571428571428,10.052380952380952,0.180870908977331,10.07,10.21,10.2
2009-11-12,10.25,10.24,10.43,10.22,48.43K,-0.10%,10.097142857142858,10.058571428571428,10.052380952380952,0.1911120339586436,10.26,10.07,10.21
2009-11-13,10.1,10.35,10.36,10.05,238.10K,-1.46%,10.147142857142857,10.058571428571428,10.052380952380952,0.1162919151265885,10.25,10.26,10.07
