Date,Price,Open,High,Low,Vol.,Change %,7_day_MA,14_day_MA,21_day_MA,7_day_STD,price_lag1,price_lag2,price_lag3
2005-08-30,16.87,16.51,16.87,16.42,2.60M,-70.67%,15.947142857142856,15.900714285714288,16.351904761904763,0.474823275395324,16.87,16.87,16.87
2005-08-31,16.04,17.19,17.28,16.04,5.03M,-4.92%,15.947142857142856,15.900714285714288,16.351904761904763,0.474823275395324,16.87,16.87,16.87
2005-09-01,15.77,15.77,16.6,15.25,9.22M,-1.68%,15.947142857142856,15.900714285714288,16.351904761904763,0.474823275395324,16.04,16.87,16.87
2005-09-02,15.91,15.52,16.02,15.52,2.49M,0.89%,15.947142857142856,15.900714285714288,16.351904761904763,0.474823275395324,15.77,16.04,16.87
2005-09-05,16.04,15.48,16.47,15.34,5.40M,0.82%,15.947142857142856,15.900714285714288,16.351904761904763,0.474823275395324,15.91,15.77,16.04
2005-09-06,15.66,16.0,16.0,15.64,1.56M,-2.37%,15.947142857142856,15.900714285714288,16.351904761904763,0.474823275395324,16.04,15.91,15.77
2005-09-07,15.34,15.79,15.91,15.34,1.10M,-2.04%,15.947142857142856,15.900714285714288,16.351904761904763,0.474823275395324,15.66,16.04,15.91
2005-09-08,14.6,15.41,15.52,14.58,1.64M,-4.82%,15.622857142857145,15.900714285714288,16.351904761904763,0.5131183841868062,15.34,15.66,16.04
2005-09-09,14.85,14.67,15.03,14.67,1.10M,1.71%,15.452857142857145,15.900714285714288,16.351904761904763,0.5478355679616047,14.6,15.34,15.66
2005-09-12,15.34,14.85,15.52,14.85,1.67M,3.30%,15.391428571428571,15.900714285714288,16.351904761904763,0.5301706823099117,14.85,14.6,15.34
2005-09-13,16.11,15.3,16.11,15.3,3.15M,5.02%,15.42,15.900714285714288,16.351904761904763,0.5668921120166264,15.34,14.85,14.6
2005-09-14,16.9,16.38,16.9,16.36,4.69M,4.90%,15.542857142857144,15.900714285714288,16.351904761904763,0.7776613291511584,16.11,15.34,14.85
2005-09-15,16.76,17.23,17.55,16.72,4.07M,-0.83%,15.7,15.900714285714288,16.351904761904763,0.9058513491002094,16.9,16.11,15.34
2005-09-16,16.42,16.78,17.1,16.33,1.90M,-2.03%,15.854285714285714,15.900714285714288,16.351904761904763,0.9260643811826692,16.76,16.9,16.11
2005-09-19,16.87,16.63,17.23,16.6,3.62M,2.74%,16.178571428571427,15.900714285714283,16.351904761904763,0.8028995074401399,16.42,16.76,16.9
2005-09-20,17.71,17.1,17.71,16.65,6.91M,4.98%,16.587142857142858,16.02,16.351904761904763,0.739317574652784,16.87,16.42,16.76
2005-09-21,17.41,18.0,18.58,16.87,13.25M,-1.69%,16.882857142857144,16.137142857142855,16.351904761904763,0.5460681973805781,17.71,16.87,16.42
2005-09-22,17.68,17.59,17.89,17.44,4.49M,1.55%,17.107142857142858,16.263571428571428,16.351904761904763,0.4958398358917312,17.41,17.71,16.87
2005-09-23,17.23,17.66,17.98,17.14,2.18M,-2.55%,17.154285714285717,16.34857142857143,16.351904761904763,0.4884962348151384,17.68,17.41,17.71
