Date,Price,Open,High,Low,Vol.,Change %,7_day_MA,14_day_MA,21_day_MA,7_day_STD,price_lag1,price_lag2,price_lag3
2011-07-21,18.9,18.9,19.29,18.3,1.34M,56.46%,18.73,18.604285714285712,19.22095238095238,0.2461029594837621,18.9,18.9,18.9
2011-07-22,18.83,19.0,19.0,18.65,724.96K,-0.37%,18.73,18.604285714285712,19.22095238095238,0.2461029594837621,18.9,18.9,18.9
2011-07-26,18.91,18.91,19.0,18.91,229.03K,0.42%,18.73,18.604285714285712,19.22095238095238,0.2461029594837621,18.83,18.9,18.9
2011-07-27,18.56,18.6,18.8,18.5,1.61K,-1.85%,18.73,18.604285714285712,19.22095238095238,0.2461029594837621,18.91,18.83,18.9
2011-07-28,18.25,18.89,18.89,17.65,17.56K,-1.67%,18.73,18.604285714285712,19.22095238095238,0.2461029594837621,18.56,18.91,18.83
2011-07-29,18.91,18.75,18.94,18.65,275.20K,3.62%,18.73,18.604285714285712,19.22095238095238,0.2461029594837621,18.25,18.56,18.91
2011-08-01,18.75,18.95,18.95,18.71,930.18K,-0.85%,18.73,18.604285714285712,19.22095238095238,0.2461029594837621,18.91,18.25,18.56
2011-08-02,18.74,18.73,18.75,18.73,2.01K,-0.05%,18.707142857142856,18.604285714285712,19.22095238095238,0.2348555787226323,18.75,18.91,18.25
2011-08-03,18.6,18.75,18.75,18.49,32.50K,-0.75%,18.67428571428572,18.604285714285712,19.22095238095238,0.2308576143323801,18.74,18.75,18.91
2011-08-04,18.69,18.5,18.69,18.5,0.70K,0.48%,18.642857142857142,18.604285714285712,19.22095238095238,0.2071806205314809,18.6,18.74,18.75
2011-08-05,18.2,18.49,18.65,17.76,14.10K,-2.62%,18.59142857142857,18.604285714285712,19.22095238095238,0.2671721399789892,18.69,18.6,18.74
2011-08-08,18.31,17.5,18.49,17.5,16.74K,0.60%,18.6,18.604285714285712,19.22095238095238,0.2550816862627872,18.2,18.69,18.6
2011-08-09,18.06,18.9,18.9,17.4,67.21K,-1.37%,18.478571428571428,18.604285714285712,19.22095238095238,0.2836328948616859,18.31,18.2,18.69
2011-08-10,18.75,18.2,18.75,18.2,36.00K,3.82%,18.478571428571428,18.604285714285712,19.22095238095238,0.2836328948616859,18.06,18.31,18.2
2011-08-11,18.77,18.7,19.0,18.6,1.13M,0.11%,18.482857142857146,18.595,19.22095238095238,0.288427592630243,18.75,18.06,18.31
2011-08-12,19.77,18.81,19.77,18.81,6.98M,5.33%,18.65,18.662142857142857,19.22095238095238,0.5695904961753947,18.77,18.75,18.06
2011-08-15,20.39,20.77,20.77,20.25,7.08M,3.14%,18.892857142857142,18.767857142857142,19.22095238095238,0.8717552081043969,19.77,18.77,18.75
2011-08-16,20.37,20.45,20.75,20.2,909.37K,-0.10%,19.202857142857145,18.897142857142857,19.22095238095238,0.965137542628237,20.39,19.77,18.77
2011-08-17,21.38,20.57,21.38,20.26,4.33M,4.96%,19.641428571428573,19.12071428571429,19.22095238095238,1.1679958414798737,20.37,20.39,19.77
2011-08-18,21.49,21.42,21.9,21.35,1.74M,0.51%,20.131428571428568,19.305,19.22095238095238,1.1121215247059448,21.38,20.37,20.39
2011-08-19,21.01,21.21,21.4,20.88,978.68K,-2.23%,20.45428571428572,19.466428571428573,19.22095238095238,0.9621825388642362,21.49,21.38,20.37
2011-08-22,20.95,20.95,21.45,20.85,927.57K,-0.29%,20.76571428571429,19.624285714285715,19.318571428571428,0.6170860864540904,21.01,21.49,21.38
2011-08-23,20.69,20.7,21.05,20.65,295.37K,-1.24%,20.897142857142857,19.773571428571422,19.40714285714285,0.4431220405905449,20.95,21.01,21.49
2011-08-24,19.98,20.8,20.95,19.8,931.12K,-3.43%,20.83857142857143,19.865714285714287,19.45809523809524,0.5382201709160835,20.69,20.95,21.01
2011-08-25,13.98,15.11,15.4,13.98,755.53K,-30.03%,19.92571428571429,19.56428571428572,19.24,2.668500559882876,19.98,20.69,20.95
2011-08-30,13.84,14.0,14.0,13.52,52.17K,-1.00%,18.84857142857143,19.245,19.03,3.404034021429222,13.98,19.98,20.69
2011-09-05,13.65,13.7,14.15,13.51,231.68K,-1.37%,17.728571428571428,18.93,18.77952380952381,3.669511450549552,13.84,13.98,19.98
2011-09-06,13.66,13.6,13.85,13.4,353.68K,0.07%,16.67857142857143,18.56642857142857,18.537142857142857,3.62537091698412,13.65,13.84,13.98
2011-09-07,13.92,13.5,13.98,13.5,297.11K,1.90%,15.674285714285714,18.22,18.307619047619045,3.1928141043226903,13.66,13.65,13.84
2011-09-08,14.1,14.1,14.56,14.05,317.36K,1.29%,14.732857142857144,17.815,18.093333333333334,2.3195309460155533,13.92,13.66,13.65
2011-09-09,14.25,14.24,14.7,14.2,2.32M,1.06%,13.914285714285716,17.376428571428573,17.88190476190476,0.2204432763665925,14.1,13.92,13.66
2011-09-12,13.89,14.3,14.3,13.79,62.93K,-2.53%,13.901428571428571,16.913571428571426,17.67666666666667,0.2185885458594576,14.25,14.1,13.92
2011-09-13,14.08,14.48,14.48,14.05,186.55K,1.37%,13.935714285714283,16.392142857142858,17.475238095238097,0.2260425581505345,13.89,14.25,14.1
2011-09-14,13.82,13.81,14.15,13.8,97.95K,-1.85%,13.96,15.844285714285714,17.273333333333333,0.197568553503165,14.08,13.89,14.25
2011-09-15,14.0,13.8,14.1,13.8,115.58K,1.30%,14.008571428571427,15.343571428571428,17.04714285714286,0.1467910727790304,13.82,14.08,13.89
2011-09-16,13.98,14.0,14.15,13.85,329.81K,-0.14%,14.017142857142858,14.845714285714283,16.81904761904762,0.1424446425474671,14.0,13.82,14.08
2011-09-19,14.06,14.02,14.15,13.95,315.92K,0.57%,14.01142857142857,14.372142857142858,16.54714285714286,0.1393351560600743,13.98,14.0,13.82
2011-09-20,14.2,14.0,14.22,13.91,89.27K,1.00%,14.004285714285714,13.959285714285716,16.252380952380953,0.125679107632246,14.06,13.98,14.0
