Date,Price,Open,High,Low,Vol.,Change %,7_day_MA,14_day_MA,21_day_MA,7_day_STD,price_lag1,price_lag2,price_lag3
2000-01-03,22.7,21.95,22.7,21.95,36.99M,4.61%,24.82857142857143,27.067857142857143,28.00238095238095,1.9521050908478983,22.7,22.7,22.7
2000-01-04,23.25,22.8,23.35,22.7,41.20M,2.42%,24.82857142857143,27.067857142857143,28.00238095238095,1.9521050908478983,22.7,22.7,22.7
2000-01-06,23.75,23.15,23.75,22.85,34.15M,2.15%,24.82857142857143,27.067857142857143,28.00238095238095,1.9521050908478983,23.25,22.7,22.7
2000-01-12,24.6,24.2,25.1,24.05,61.82M,3.58%,24.82857142857143,27.067857142857143,28.00238095238095,1.9521050908478983,23.75,23.25,22.7
2000-01-13,25.15,24.75,25.15,24.4,40.06M,2.24%,24.82857142857143,27.067857142857143,28.00238095238095,1.9521050908478983,24.6,23.75,23.25
2000-01-14,25.85,25.4,25.85,24.9,64.55M,2.78%,24.82857142857143,27.067857142857143,28.00238095238095,1.9521050908478983,25.15,24.6,23.75
2000-01-17,28.5,26.4,30.2,26.15,223.02M,10.25%,24.82857142857143,27.067857142857143,28.00238095238095,1.9521050908478983,25.85,25.15,24.6
2000-01-18,27.95,28.2,29.1,27.2,170.58M,-1.93%,25.57857142857143,27.067857142857143,28.00238095238095,2.00579517541405,28.5,25.85,25.15
2000-01-19,29.35,28.25,29.8,27.9,151.64M,5.01%,26.45,27.067857142857143,28.00238095238095,2.145732198263953,27.95,28.5,25.85
2000-01-20,28.05,29.85,30.35,27.5,139.88M,-4.43%,27.06428571428572,27.067857142857143,28.00238095238095,1.8372793032348749,29.35,27.95,28.5
2000-01-21,32.3,29.5,32.3,29.3,170.04M,15.15%,28.16428571428571,27.067857142857143,28.00238095238095,2.3495946965583707,28.05,29.35,27.95
2000-01-24,30.75,31.25,32.45,30.3,124.38M,-4.80%,28.964285714285715,27.067857142857143,28.00238095238095,2.091393930236136,32.3,28.05,29.35
2000-01-25,27.95,31.3,31.4,27.0,180.89M,-9.11%,29.264285714285712,27.067857142857143,28.00238095238095,1.680454870393297,30.75,32.3,28.05
2000-01-26,28.8,29.0,29.6,27.4,164.02M,3.04%,29.307142857142853,27.067857142857143,28.00238095238095,1.6614322564754558,27.95,30.75,32.3
2000-01-27,29.25,29.05,30.2,28.9,121.92M,1.56%,29.49285714285714,27.535714285714285,28.00238095238095,1.553605637280728,28.8,27.95,30.75
2000-01-28,29.35,29.35,30.0,29.05,56.07M,0.34%,29.492857142857144,27.97142857142857,28.00238095238095,1.553605637280728,29.25,28.8,27.95
2000-01-31,29.65,29.5,30.45,29.5,91.52M,1.02%,29.72142857142857,28.392857142857142,28.00238095238095,1.4177027023960034,29.35,29.25,28.8
2000-02-01,29.65,29.85,30.0,29.3,63.10M,0.00%,29.34285714285713,28.75357142857143,28.00238095238095,0.8575296746218916,29.65,29.35,29.25
2000-02-02,30.4,29.5,30.55,29.4,104.58M,2.53%,29.29285714285714,29.12857142857143,28.00238095238095,0.767261673870434,29.65,29.65,29.35
2000-02-03,30.1,30.6,30.95,29.7,119.22M,-0.99%,29.6,29.432142857142857,28.00238095238095,0.5354126134736175,30.4,29.65,29.65
2000-02-04,30.7,30.15,31.05,30.05,110.17M,1.99%,29.87142857142857,29.589285714285715,28.00238095238095,0.5437961803049628,30.1,30.4,29.65
2000-02-07,31.3,31.1,31.35,30.45,139.72M,1.95%,30.164285714285715,29.82857142857143,28.41190476190476,0.6866065623255816,30.7,30.1,30.4
2000-02-08,30.65,31.25,31.35,30.6,59.12M,-2.08%,30.35,29.92142857142857,28.764285714285712,0.5999999999999845,31.3,30.7,30.1
2000-02-09,29.35,30.75,30.9,29.15,175.76M,-4.24%,30.307142857142857,30.01428571428572,29.03095238095237,0.6654751256486781,30.65,31.3,30.7
2000-02-10,29.3,29.55,29.55,28.75,56.80M,-0.17%,30.25714285714286,29.8,29.254761904761907,0.7328190837606443,29.35,30.65,31.3
2000-02-11,27.6,29.35,29.6,27.3,107.61M,-5.80%,29.857142857142858,29.575,29.37142857142857,1.2343785789580357,29.3,29.35,30.65
2000-02-14,29.1,28.0,29.2,27.9,90.89M,5.43%,29.714285714285715,29.657142857142865,29.52619047619048,1.2592042082582249,27.6,29.3,29.35
2000-02-15,29.5,29.35,29.75,28.95,101.27M,1.37%,29.54285714285714,29.70714285714286,29.57380952380953,1.1819576174820294,29.1,27.6,29.3
2000-02-16,30.1,29.35,30.1,29.1,124.06M,2.03%,29.371428571428574,29.767857142857142,29.67619047619048,0.9486205523711472,29.5,29.1,27.6
2000-02-17,30.65,30.15,30.7,30.0,82.93M,1.83%,29.37142857142857,29.860714285714288,29.73809523809524,0.9486205523711472,30.1,29.5,29.1
2000-02-18,31.55,30.7,31.9,30.6,89.57M,2.94%,29.685714285714287,29.996428571428574,29.904761904761905,1.2552271659326142,30.65,30.1,29.5
2000-02-21,31.75,31.85,32.05,31.4,63.15M,0.63%,30.035714285714285,30.14642857142857,29.878571428571423,1.4553677329442267,31.55,30.65,30.1
2000-02-22,32.45,31.75,32.65,31.5,165.49M,2.20%,30.72857142857143,30.292857142857144,29.95952380952381,1.2412551251512554,31.75,31.55,30.65
2000-02-23,32.4,32.55,32.7,31.95,96.67M,-0.15%,31.2,30.457142857142856,30.17142857142857,1.1423659658795715,32.45,31.75,31.55
2000-02-24,32.85,32.35,32.9,32.05,121.97M,1.39%,31.678571428571427,30.610714285714288,30.36428571428572,1.00492833196249,32.4,32.45,31.75
2000-02-25,32.65,33.0,33.45,32.15,105.65M,-0.61%,32.04285714285714,30.707142857142856,30.526190476190475,0.7726731582783013,32.85,32.4,32.45
2000-02-28,31.75,32.75,32.9,31.65,101.01M,-2.76%,32.2,30.785714285714285,30.6404761904762,0.5090841449766608,32.65,32.85,32.4
2000-02-29,32.1,31.8,32.45,31.6,107.23M,1.10%,32.278571428571425,30.982142857142858,30.757142857142856,0.4280353790450447,31.75,32.65,32.85
2000-03-01,30.5,32.0,32.0,30.2,199.37M,-4.98%,32.1,31.067857142857147,30.797619047619047,0.7916228058024999,32.1,31.75,32.65
2000-03-02,31.25,30.5,31.25,29.6,107.53M,2.46%,31.928571428571427,31.32857142857143,30.83809523809524,0.8320943169983281,30.5,32.1,31.75
2000-03-03,31.65,31.55,32.5,31.5,121.70M,1.28%,31.821428571428573,31.510714285714283,30.91190476190476,0.8092471516050698,31.25,30.5,32.1
